key_size,key_bits,file_type,input_size,input_bytes,input_MB,trial,enc_time_ms,dec_time_ms,enc_throughput_MBps,dec_throughput_MBps,enc_cpu_pct,dec_cpu_pct,enc_cpu_os_pct,dec_cpu_os_pct,enc_peak_MB,dec_peak_MB,rss_MB,verified
AES-128,128,JPG,5MB,5242880,5,5,2.8828,2.9956,1734.42,1669.11,97.6424,98.7485,93.5438,86.4542,5.00054,5.00048,43.6445,PASS
AES-256,256,JPG,5MB,5242880,5,6,3.0453,3.0564,1641.87,1635.91,98.6624,96.9532,80.5077,80.5826,5.00054,5.00048,43.6445,PASS
AES-128,128,JPG,5MB,5242880,5,6,2.8627,2.9257,1746.6,1708.99,96.459,96.9403,68.6418,99.6307,5.00054,5.00048,43.6445,PASS
AES-192,192,JPG,5MB,5242880,5,6,3.1876,3.1095,1568.58,1607.98,95.8495,99.0082,81.2,87.0992,5.00054,5.00048,43.6445,PASS
AES-128,128,JPG,5MB,5242880,5,7,2.9425,2.9611,1699.24,1688.56,97.8847,97.3488,87.2822,62.302,5.00054,5.00048,43.6445,PASS
AES-192,192,JPG,5MB,5242880,5,7,3.1196,3.1588,1602.77,1582.88,98.5449,97.7397,87.3584,62.4516,5.00054,5.00048,43.6445,PASS
AES-256,256,JPG,5MB,5242880,5,7,4.3017,3.2146,1162.33,1555.4,98.7695,96.4526,93.1546,74.2012,5.00054,5.00048,43.6445,PASS
AES-192,192,JPG,5MB,5242880,5,8,2.9914,3.1642,1671.46,1580.18,96.4703,96.5053,68.115,61.8072,5.00054,5.00048,43.6445,PASS
AES-256,256,JPG,5MB,5242880,5,8,3.1852,3.166,1569.76,1579.28,97.6874,97.2999,92.9633,80.6246,5.00054,5.00048,43.6445,PASS
AES-128,128,JPG,5MB,5242880,5,8,2.9663,2.9503,1685.6,1694.74,99.0845,97.8196,92.7597,74.1641,5.00054,5.00048,43.6445,PASS
AES-256,256,JPG,5MB,5242880,5,9,3.6515,3.2211,1369.3,1552.26,98.8263,98.917,80.2256,93.5151,5.00054,5.00048,43.6445,PASS
AES-128,128,JPG,5MB,5242880,5,9,2.7241,2.8277,1835.47,1768.22,99.1331,98.2727,99.8745,99.354,5.00054,5.00048,43.6445,PASS
AES-192,192,JPG,5MB,5242880,5,9,3.0018,3.2753,1665.67,1526.58,97.6629,96.1565,93.107,80.6093,5.00054,5.00048,43.6445,PASS
AES-128,128,JPG,5MB,5242880,5,10,2.8204,3.1097,1772.8,1607.87,97.0097,95.6477,92.6552,74.7098,5.00054,5.00048,43.6445,PASS
AES-192,192,JPG,5MB,5242880,5,10,2.9287,2.968,1707.24,1684.64,98.852,97.221,93.3243,80.0699,5.00054,5.00048,43.6445,PASS
AES-256,256,JPG,5MB,5242880,5,10,3.5478,3.4753,1409.32,1438.72,97.0927,98.8344,43.5561,80.1937,5.00054,5.00048,43.6445,PASS
AES-128,128,JPG,10MB,10485760,10,1,6.6443,5.6588,1505.05,1767.16,97.8165,98.1118,61.0245,67.9704,10.0005,10.0005,53.6445,PASS
AES-192,192,JPG,10MB,10485760,10,1,5.8784,5.9648,1701.14,1676.5,96.0987,98.424,43.162,80.9448,10.0005,10.0005,53.6445,PASS
AES-256,256,JPG,10MB,10485760,10,1,5.2498,6.6401,1904.83,1506,97.5455,98.8879,86.897,85.4241,10.0005,10.0005,53.6445,PASS
AES-192,192,JPG,10MB,10485760,10,2,5.9035,6.0059,1693.91,1665.03,97.0977,97.3879,86.813,43.3235,10.0005,10.0005,53.6445,PASS
AES-256,256,JPG,10MB,10485760,10,2,6.1759,6.5225,1619.2,1533.15,97.7563,94.9491,80.8755,43.5803,10.0005,10.0005,53.6445,PASS
AES-128,128,JPG,10MB,10485760,10,2,6.0307,6.0947,1658.18,1640.77,97.6963,98.2843,55.8823,92.6882,10.0005,10.0005,53.6445,PASS
AES-256,256,JPG,10MB,10485760,10,3,6.0271,6.1201,1659.17,1633.96,97.0339,96.6245,24.7514,37.3047,10.0005,10.0005,53.6445,PASS
AES-128,128,JPG,10MB,10485760,10,3,5.6391,5.7616,1773.33,1735.63,98.6842,97.6887,86.1749,49.2023,10.0005,10.0005,53.6445,PASS
